,date,username,geo,text,likes,retweets,hashtags
0,2019-09-15 10:24:21+00:00,gmanews_sports,,End of Q3: AdU 50-52 UP #UAAPSeason82,2,0,#UAAPSeason82
0,2019-09-15 09:47:50+00:00,gmanews_sports,,At the half: Adamson 41-25 UP #UAAPSeason82,2,0,#UAAPSeason82
0,2019-09-15 09:15:23+00:00,gmanews_sports,,End of Q1: Adamson 20-18 UP #UAAPSeason82,2,0,#UAAPSeason82
0,2019-09-15 08:25:54+00:00,gmanews_sports,,"FINAL: UST Growling Tigers tame NU Bulldogs in Overtime, 87-74. #UAAPSeason82 (Photo: UAAP)pic.twitter.com/RYSYJ0413H",177,23,#UAAPSeason82
0,2019-09-15 08:12:08+00:00,gmanews_sports,,We are going into overtime! NU and UST locked at 70! #UAAPSeason82,3,0,#UAAPSeason82
0,2019-09-15 08:05:03+00:00,gmanews_sports,,"Abando three, NU timeout. UST 67-68 NU, 27 secs left, Q4. #UAAPSeason82",3,0,#UAAPSeason82
0,2019-09-14 15:48:03+00:00,gmanews_sports,,#UAAPSeason82: UE's Suerte adjusted easily to the UAAPhttp://bit.ly/2kkFZbK,2,0,#UAAPSeason82
0,2019-09-14 12:26:25+00:00,gmanews_sports,,#UAAPSeason82: Ateneo routs FEU to keep record cleanhttp://bit.ly/2kJpXIz,19,3,#UAAPSeason82
0,2019-09-14 10:08:24+00:00,gmanews_sports,,"#UAAPSeason82: Rey Suerte lists 31, sinks back-to-back clutch threes to lead UE's first winhttp://bit.ly/2khehfU",45,6,#UAAPSeason82
0,2019-09-14 00:12:27+00:00,gmanews_sports,,"Tyson Fury, Deontay Wilder agree to terms of rematch, third fight-reporthttp://bit.ly/2lTyjxm",0,0,
0,2019-09-13 14:54:57+00:00,gmanews_sports,,Age-defying Scola leads Argentina over France to finals vs. Spain #FIBAWC http://bit.ly/2kz0AJA pic.twitter.com/PJbQ0XkMbn,34,4,#FIBAWC
0,2019-09-13 14:04:44+00:00,gmanews_sports,,Argentina goes to the Finals! #FIBAWChttps://twitter.com/FIBAWC/status/1172511107325382656 …,5,0,#FIBAWChttps
0,2019-09-13 12:55:08+00:00,gmanews_sports,,Go Hard Girls: New podcast puts spotlight on Pinay athleteshttp://bit.ly/2kKFrvP,6,1,
0,2019-09-13 12:00:52+00:00,gmanews_sports,,"Marc Gasol pushes Spain past Australia, into FIBA World Cup finalshttp://bit.ly/2lU0f48",20,4,
0,2019-09-13 10:57:36+00:00,gmanews_sports,,Spain advances to the Finals! #FIBAWChttps://twitter.com/FIBAWC/status/1172458113665916929 …,6,0,#FIBAWChttps
0,2019-09-12 02:31:58+00:00,gmanews_sports,,LeBron James backs bill to let college athletes earn endorsement moneyhttp://bit.ly/2kgjfcX,7,1,
0,2019-09-11 13:29:09+00:00,gmanews_sports,,FIBA WORLD CUP: France eliminates USA in major upsethttp://bit.ly/2kEjlv1,10,0,
0,2019-09-11 11:30:00+00:00,gmanews_sports,,"Yeng Guiao, kumalas sa Gilas Pilipinas matapos mabokya ang koponan sa FIBA World Cuphttp://bit.ly/2lLEQKz",9,2,
0,2019-09-11 09:46:29+00:00,gmanews_sports,,UAAP: La Salle escapes late NU run to notch first winhttp://bit.ly/2mbOFli,15,1,
0,2019-09-11 08:26:14+00:00,gmanews_sports,,Nets' Durant: 'Some days I hate the circus of the NBA'http://bit.ly/2kF3L2i,5,0,
0,2019-09-11 08:14:02+00:00,gmanews_sports,,Michael Jordan pledges $1M to Hurricane Dorian relief in Bahamashttp://bit.ly/2krpCKB,8,0,
0,2019-09-11 07:59:55+00:00,gmanews_sports,,Guiao quits Gilas Pilipinas after winless FIBA World Cup stinthttp://bit.ly/2m8YbWd,103,15,
0,2019-09-11 07:50:57+00:00,gmanews_sports,,JUST IN: Coach Yeng Guiao steps down as head coach of Gilas Pilipinas basketball team | via @officialSBPincpic.twitter.com/YTQnbXmeRr,96,20,
0,2019-09-10 04:11:00+00:00,gmanews_sports,,Orphan goes from sniffing glue to playing for the PHL rugby teamhttp://bit.ly/2k6Ko1K,2,0,
0,2019-09-10 03:47:26+00:00,gmanews_sports,,Grizzlies reportedly won’t buy out Iguodalahttp://bit.ly/2m82Ibx,11,2,
0,2019-09-09 10:31:48+00:00,gmanews_sports,,Douthit wants SMB import McCullough as next Gilas Pilipinas naturalized playerhttp://bit.ly/2m4P8Wh,5,0,
0,2019-09-08 13:57:10+00:00,gmanews_sports,,"JUST IN: Gilas Pilipinas falls to Iran, 95-75, to end its #FIBAWC stint.pic.twitter.com/23x0PNyuOO",7,0,#FIBAWC
0,2019-09-08 13:04:29+00:00,gmanews_sports,,"At the half, Iran with the lead against Gilas Pilipinas in the classification round, 48-34. #LabanPilipinas #FIBAWCpic.twitter.com/5vQ47ngksY",4,0,#LabanPilipinas #FIBAWCpic
0,2019-09-08 10:39:18+00:00,gmanews_sports,,Stats for DLSU vs ADMUpic.twitter.com/HpcKGsphgm,7,0,
0,2019-09-08 10:26:44+00:00,gmanews_sports,,Coach Tab Baldwin shares his thoughts on the win against La Salle.pic.twitter.com/I2vFivn8Cd,70,10,
0,2019-09-08 10:07:23+00:00,gmanews_sports,,"JUST IN: Ateneo dominates La Salle to get win number two, 81-69. (Photo: UAAP)pic.twitter.com/5JvTiiHu3l",16,4,
0,2019-09-08 10:00:06+00:00,gmanews_sports,,"La Salle timeout. 1:41 left in Q4. Ateneo, 77-67.",0,0,
0,2019-09-08 09:52:27+00:00,gmanews_sports,,Ateneo calls for time after La Salle run. Ateneo 71-62 La Salle: 4:50 Q4. #UAAPSeason82,1,0,#UAAPSeason82
0,2019-09-08 09:44:21+00:00,gmanews_sports,,"La Salle calls for ceasefire. 70-52, Ateneo. 9:02 in Q4.",1,0,
0,2019-09-08 09:40:44+00:00,gmanews_sports,,Andrade triple brings Ateneo to 66. La Salle 50. End of Q3. #UAAPSeason82,3,1,#UAAPSeason82
0,2019-09-08 09:19:51+00:00,gmanews_sports,,Halftime stats: La Salle FGs 12/39. Malonzo leads in scoring with 11. Ateneo FGs 17/42. Nieto bros with combined 23 points. #UAAPSeason82pic.twitter.com/Yd8m9yfgtz,3,0,#UAAPSeason82pic
0,2019-09-08 09:03:23+00:00,gmanews_sports,,"Domination for Ateneo at the second period to end the first half, 51-29. #UAAPSeason82",6,0,#UAAPSeason82
0,2019-09-08 08:56:17+00:00,gmanews_sports,,"Navarro sinks two from the stripe. Ateneo 40-29 La Salle, 2:27 in Q2. La Salle timeout.",3,0,
0,2019-09-08 08:51:21+00:00,gmanews_sports,,"Ateneo widens the gap, 38-29, 3:54, Q2. #UAAPSeason82",5,0,#UAAPSeason82
0,2019-09-08 08:41:22+00:00,gmanews_sports,,La Salle calls for time. Ateneo 28-25 La Salle: 7:05 in Q2.,1,0,
0,2019-09-08 08:34:53+00:00,gmanews_sports,,"Encho Serrano shot brings La Salle to 21 to end the first quarter. Ateneo, 23. #UAAPSeason82",1,0,#UAAPSeason82
0,2019-09-08 08:25:08+00:00,gmanews_sports,,"DLSU 12-17 ADMU, 4:57 in Q1.",3,0,
0,2019-09-08 08:14:54+00:00,gmanews_sports,,It’s on! Ateneo vs La Salle first round face-off! #UAAPSeason82pic.twitter.com/TjcmnmTzAh,29,2,#UAAPSeason82pic
0,2019-09-08 06:21:07+00:00,gmanews_sports,,"FEU Tamaraws notch their first win at UE's expense, 81-65. (Photo: UAAP)pic.twitter.com/OUNW5zJRD8",53,7,
0,2019-09-07 12:35:05+00:00,gmanews_sports,,#UAAPSeason82: Mark Nonoy tows UST to victory over UPhttp://bit.ly/2k2LpI8,63,8,#UAAPSeason82
0,2019-09-07 11:28:45+00:00,gmanews_sports,,#UAAPSeason82: Clutch Douanga triple delivers win for Adamson in thriller OThttp://bit.ly/2lE28Cd,27,3,#UAAPSeason82
0,2019-09-07 10:53:38+00:00,gmanews_sports,,UST fans cheer after the win!pic.twitter.com/3acJ0M1nH5,23,2,
0,2019-09-07 10:48:30+00:00,gmanews_sports,,"JUST IN: UST Growling Tigers defeat the UP Fighting Maroons, 85-69. (Photo: UAAP)pic.twitter.com/vjYzZAhMXP",259,34,
0,2019-09-07 08:24:03+00:00,gmanews_sports,,"JUST IN: Lenda Douanga triple delivers the win for Adamson Falcons against NU Bulldogs in OT, 84-83. (Photo: UAAP) #UAAPSeason82pic.twitter.com/0kjoyIHd2v",205,30,#UAAPSeason82pic
0,2019-09-07 08:04:22+00:00,gmanews_sports,,(Photo: UAAP),0,0,
0,2019-09-07 08:04:01+00:00,gmanews_sports,,We’re going to overtime. Adamson and NU end regulation at 74-all. #UAAP82pic.twitter.com/qFK9c9huWH,2,0,#UAAP82pic
0,2019-09-07 03:55:00+00:00,gmanews_sports,,"Rafa Nadal moved to the brink of a 19th career Grand Slam title on Friday by beating Matteo Berrettini 7-6(6), 6-4, 6-1 to reach the US Open final.http://bit.ly/2lYWwSZ",36,7,
0,2019-09-07 02:55:38+00:00,gmanews_sports,,"Love him or hate him, Daniil Medvedev will play for a first Grand Slam title after grinding out a 7-6(5), 6-4, 6-3 win over Grigor Dimitrov at the US Open on Friday.http://bit.ly/2lJ7RX9",12,1,
0,2019-09-06 14:11:03+00:00,gmanews_sports,,#FIBAWC: Gilas Pilipinas failed to qualify for the #Tokyo2020 Olympics as China beat Korea in the classification phase of the FIBA World Cup on Friday.http://bit.ly/2kyn11c,9,2,#FIBAWC #Tokyo2020
0,2019-09-06 13:38:26+00:00,gmanews_sports,,#FIBAWC: Gilas Pilipinas falls to Tunisiahttp://bit.ly/2k2CjLt,1,0,#FIBAWC
0,2019-09-06 13:34:47+00:00,gmanews_sports,,"FINAL: Gilas Pilipinas falls to Tunisia in #FIBAWC classification round, 86-67.pic.twitter.com/nOb3WI3qvH",32,6,#FIBAWC
0,2019-09-06 12:40:39+00:00,gmanews_sports,,"At the half: Tunisia with the lead against Gilas, 46-24. #FIBAWCpic.twitter.com/dOJl6BNoBf",17,2,#FIBAWCpic
0,2019-09-06 12:20:07+00:00,gmanews_sports,,"End of Q1: Tunisia 27 - 10 Gilas Pilipinas, in the #FIBAWC Classification roundpic.twitter.com/Ya2p2WyrXB",14,2,#FIBAWC
0,2019-09-06 11:31:39+00:00,gmanews_sports,,"The victory improved Iran's chances of directly qualifying for the 2020 Tokyo Olympics, putting pressure on Gilas Pilipinas to win their game against Tunisia later at 8 pm. #FIBAWChttp://bit.ly/2m3jsRf",15,2,#FIBAWChttp
0,2019-09-06 07:14:13+00:00,gmanews_sports,,Andreescu KOs Bencic to set up blockbuster final with Serenahttp://bit.ly/2m2RrJz,1,0,
0,2019-09-06 01:34:18+00:00,gmanews_sports,,Williams dismantles Svitolina to reach US Open finalhttp://bit.ly/2kvrNN6,21,2,
0,2019-09-05 02:04:42+00:00,gmanews_sports,,Gilas Pilipinas is now headed to Beijing for the classification phase of the FIBA World Cup.http://bit.ly/2lSxJjs,80,5,
0,2019-09-04 14:49:24+00:00,gmanews_sports,,FIBA WORLD CUP: Ravena fights back tears after Gilas Pilipinas' overtime loss to Angolahttp://bit.ly/2kuhSXY,2,0,
0,2019-09-04 13:30:57+00:00,gmanews_sports,,"CJ Perez 'incredible' despite late lapse in Angola loss, says Gilas Pilipinas coach Yeng Guiaohttp://bit.ly/2jYXbDn",10,1,
0,2019-09-04 12:24:39+00:00,gmanews_sports,,UAAP SEASON 82: Ateneo opens title defense with win against Adamsonhttp://bit.ly/2lxXXaS,16,2,
0,2019-09-04 10:14:02+00:00,gmanews_sports,,"JUST IN: Ateneo Blue Eagles open title defense with win against Adamson Soaring Falcons, 70-52. (Photo: UAAP) | via @jk_carandangpic.twitter.com/hNhdDQw7P7",49,7,
0,2019-09-04 09:45:38+00:00,gmanews_sports,,"Gilas Pilipinas ends the group stage with a loss against Angola in overtime, 84 - 81 #FIBAWCpic.twitter.com/pIwHEZArip",77,13,#FIBAWCpic
